@RELATION AirBnB

@ATTRIBUTE room_type STRING
@ATTRIBUTE neighborhood STRING
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction REAL
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms REAL
@ATTRIBUTE price REAL
@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL

@DATA
Entire home/apt,Ciutat Vella,3,3.5,9,3.0,409.0,41.385,2.179
Entire home/apt,Eixample,115,5.0,10,4.0,480.0,41.392,2.166
Entire home/apt,Eixample,29,4.5,6,3.0,451.0,41.386,2.168
Entire home/apt,Eixample,45,5.0,6,2.0,324.0,41.387,2.169
Entire home/apt,Ciutat Vella,17,4.5,8,3.0,411.0,41.388,2.174
Entire home/apt,Eixample,150,4.5,7,3.0,337.0,41.391,2.164
Entire home/apt,Eixample,24,4.5,8,5.0,361.0,41.398,2.171
Entire home/apt,Eixample,28,4.5,10,4.0,381.0,41.400,2.181
Entire home/apt,Sant Martí,52,4.5,10,4.0,418.0,41.390,2.197
Entire home/apt,Ciutat Vella,57,4.5,6,4.0,493.0,41.377,2.177
Entire home/apt,Sants-Montjuïc,4,4.5,7,3.0,331.0,41.375,2.142
Entire home/apt,Eixample,5,5.0,6,3.0,445.0,41.387,2.171
Entire home/apt,Horta-Guinardó,18,4.5,6,3.0,481.0,41.429,2.134
Entire home/apt,Ciutat Vella,3,5.0,5,3.0,312.0,41.382,2.170
Entire home/apt,Eixample,36,4.5,10,4.0,499.0,41.387,2.150
Entire home/apt,Sant Martí,5,4.5,6,2.0,327.0,41.403,2.214
Entire home/apt,Sant Martí,3,4.0,10,4.0,354.0,41.387,2.198
Entire home/apt,Ciutat Vella,68,4.5,10,4.0,483.0,41.380,2.172
Entire home/apt,Eixample,23,4.5,8,3.0,384.0,41.386,2.151
Entire home/apt,Ciutat Vella,3,1.0,8,3.0,420.0,41.379,2.178
Entire home/apt,Eixample,36,4.5,15,5.0,397.0,41.395,2.176
Entire home/apt,Eixample,37,4.0,10,4.0,361.0,41.387,2.167
Entire home/apt,Eixample,45,4.5,11,6.0,403.0,41.399,2.171
Entire home/apt,Ciutat Vella,16,4.5,8,3.0,384.0,41.377,2.179
Entire home/apt,Eixample,4,5.0,15,9.0,481.0,41.396,2.167
Entire home/apt,Eixample,14,4.5,10,4.0,337.0,41.381,2.161
Entire home/apt,Eixample,31,4.5,8,3.0,359.0,41.396,2.169
Entire home/apt,Eixample,87,5.0,7,3.0,361.0,41.389,2.165
Entire home/apt,Eixample,17,5.0,9,5.0,499.0,41.388,2.160
Entire home/apt,Horta-Guinardó,4,4.5,10,5.0,361.0,41.434,2.155
Entire home/apt,Ciutat Vella,20,4.5,6,2.0,475.0,41.381,2.173
Entire home/apt,Sant Martí,6,4.5,7,3.0,433.0,41.398,2.206
Entire home/apt,Eixample,29,4.5,8,3.0,426.0,41.386,2.164
Entire home/apt,Ciutat Vella,6,4.5,10,4.0,420.0,41.375,2.176
Entire home/apt,Gràcia,8,5.0,6,3.0,343.0,41.398,2.158
Entire home/apt,Eixample,4,5.0,6,2.0,361.0,41.387,2.171
Entire home/apt,Eixample,28,4.5,13,5.0,481.0,41.392,2.173
Entire home/apt,Ciutat Vella,8,5.0,6,3.0,481.0,41.388,2.177
Entire home/apt,Eixample,19,4.5,10,4.0,361.0,41.378,2.158
Entire home/apt,Sarrià-Sant Gervasi,17,4.5,8,4.0,469.0,41.407,2.146
Entire home/apt,Eixample,52,4.5,9,4.0,477.0,41.387,2.163
Entire home/apt,Eixample,4,5.0,4,2.0,505.0,41.390,2.174
Entire home/apt,Eixample,16,5.0,6,3.0,348.0,41.397,2.174
Entire home/apt,Eixample,34,4.5,14,7.0,361.0,41.393,2.172
Entire home/apt,Eixample,52,4.5,12,4.0,354.0,41.396,2.170
Entire home/apt,Eixample,3,5.0,10,4.0,373.0,41.400,2.181
Entire home/apt,Eixample,135,5.0,16,6.0,398.0,41.390,2.166
Entire home/apt,Ciutat Vella,38,5.0,6,2.0,331.0,41.384,2.165
Entire home/apt,Eixample,10,4.5,8,4.0,451.0,41.388,2.171
Entire home/apt,Sants-Montjuïc,19,4.5,10,3.0,402.0,41.373,2.164
Entire home/apt,Eixample,31,5.0,12,4.0,420.0,41.376,2.166
Entire home/apt,Ciutat Vella,3,4.5,9,3.0,409.0,41.386,2.181
Entire home/apt,Ciutat Vella,34,4.5,6,3.0,481.0,41.379,2.176
Entire home/apt,Eixample,3,4.5,2,1.0,60.0,41.375,2.161
Entire home/apt,Ciutat Vella,7,4.5,2,1.0,55.0,41.377,2.167
Entire home/apt,Sarrià-Sant Gervasi,102,4.5,4,1.0,60.0,41.407,2.145
Entire home/apt,Ciutat Vella,34,4.5,2,0.0,42.0,41.383,2.183
Entire home/apt,Gràcia,126,4.5,2,1.0,59.0,41.402,2.153
Entire home/apt,Nou Barris,16,4.5,2,0.0,57.0,41.432,2.174
Entire home/apt,Les Corts,75,4.0,2,1.0,48.0,41.385,2.139
Entire home/apt,Les Corts,7,5.0,5,1.0,3606.0,41.382,2.134
