room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Sant Martí,5,4.5,1,1.0,30.0,41.404984000000006,2.2046189999999997
Private room,Sant Martí,3,4.5,2,1.0,31.0,41.425506,2.202381
Private room,Sant Martí,6,4.0,1,0.0,36.0,41.401981,2.195482
Private room,Sant Martí,6,4.5,1,1.0,28.0,41.405608,2.204811
Private room,Sant Martí,24,4.5,2,1.0,36.0,41.401625,2.195373
Private room,Sant Martí,5,5.0,2,1.0,38.0,41.398708,2.195718
Private room,Sant Martí,13,5.0,2,1.0,36.0,41.416224,2.206014
Private room,Sant Martí,9,4.0,2,1.0,27.0,41.417482,2.196958
Private room,Sant Martí,12,5.0,1,1.0,30.0,41.404928000000005,2.200612
Private room,Sant Martí,13,5.0,1,1.0,22.0,41.415243,2.1996599999999997
Private room,Sant Martí,150,4.5,1,1.0,36.0,41.400182,2.1943610000000002
Private room,Sant Martí,10,4.5,3,2.0,38.0,41.397803,2.198913
Private room,Sant Martí,15,4.5,2,1.0,38.0,41.39865,2.1958729999999997
Private room,Sant Martí,83,4.5,3,1.0,34.0,41.398533,2.196088
Private room,Sant Martí,3,5.0,2,1.0,35.0,41.407857,2.204353
Private room,Sant Martí,17,4.5,2,1.0,38.0,41.415448,2.1952689999999997
Private room,Sant Martí,34,4.0,3,1.0,34.0,41.402928,2.20286
Private room,Sant Martí,24,5.0,2,1.0,27.0,41.412473,2.1944049999999997
Private room,Sant Martí,26,5.0,2,1.0,30.0,41.411306,2.2060419999999996
Private room,Sant Martí,9,4.5,1,1.0,36.0,41.398749,2.19495
Private room,Sant Martí,15,4.0,1,1.0,28.0,41.417714000000004,2.205567
Private room,Sant Martí,82,5.0,2,1.0,36.0,41.402665,2.200883
Private room,Sant Martí,39,5.0,1,1.0,30.0,41.405239,2.205765
Private room,Sant Martí,5,4.5,1,1.0,36.0,41.401265,2.2035310000000004
Private room,Sant Martí,158,4.5,1,1.0,36.0,41.400647,2.194868
Private room,Sant Martí,33,4.0,5,1.0,39.0,41.398134000000006,2.204348
Private room,Sant Martí,11,5.0,2,1.0,18.0,41.406857,2.205837
Private room,Sant Martí,56,4.0,2,1.0,39.0,41.415439,2.211684
Private room,Sant Martí,10,4.5,2,1.0,35.0,41.415397,2.218162
Private room,Sant Martí,27,4.5,3,1.0,25.0,41.397967,2.1955430000000002
Private room,Sant Martí,20,4.5,3,1.0,41.0,41.401697999999996,2.205562
Private room,Sant Andreu,8,4.0,2,1.0,30.0,41.416897999999996,2.187118
Private room,Eixample,13,4.5,1,1.0,36.0,41.405114000000005,2.180527
Private room,Sant Andreu,67,4.5,1,1.0,18.0,41.416703000000005,2.189061
Private room,Sant Martí,13,4.5,1,1.0,36.0,41.412244,2.1781919999999997
Private room,Sant Martí,13,4.5,1,1.0,36.0,41.398984000000006,2.195335
Private room,Eixample,56,4.5,2,1.0,24.0,41.398338,2.181984
Private room,Sant Martí,73,4.0,2,1.0,23.0,41.411295,2.185367
Private room,Eixample,86,4.5,1,1.0,36.0,41.394662,2.1806360000000002
Private room,Horta-Guinardó,109,4.5,2,1.0,24.0,41.414682,2.17833
Private room,Sant Martí,22,4.5,1,1.0,24.0,41.405632000000004,2.185462
Private room,Sant Martí,12,4.5,2,1.0,23.0,41.416451,2.20555
Private room,Eixample,11,5.0,1,2.0,35.0,41.401953000000006,2.178936
Private room,Sant Martí,26,4.5,4,2.0,30.0,41.418434000000005,2.208555
